Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
2	:	1527973714.927	     0.200	0	0	0	0	rescalepx datasets/danbooru/face21535108.jpg
1	:	1527973714.918	     0.220	0	0	0	0	rescalepx datasets/danbooru/face21530744.jpg
3	:	1527973714.934	     0.213	0	0	0	0	rescalepx datasets/danbooru/face21539400.jpg
4	:	1527973714.943	     0.213	0	0	0	0	rescalepx datasets/danbooru/face21542534.jpg
5	:	1527973714.951	     0.217	0	0	0	0	rescalepx datasets/danbooru/face21581402.png
6	:	1527973714.962	     0.221	0	0	0	0	rescalepx datasets/danbooru/face21587784.jpg
7	:	1527973715.137	     0.111	0	0	0	0	rescalepx datasets/danbooru/face21588068.png
9	:	1527973715.157	     0.116	0	0	0	0	rescalepx datasets/danbooru/face21619401.jpg
10	:	1527973715.168	     0.122	0	0	0	0	rescalepx datasets/danbooru/face21646956.png
11	:	1527973715.182	     0.151	0	0	0	0	rescalepx datasets/danbooru/face21700275.jpg
8	:	1527973715.146	     0.200	0	0	0	0	rescalepx datasets/danbooru/face21608756.png
12	:	1527973715.206	     0.152	0	0	0	0	rescalepx datasets/danbooru/face21700278.jpg
13	:	1527973715.267	     0.143	0	0	0	0	rescalepx datasets/danbooru/face21740306.jpg
14	:	1527973715.290	     0.138	0	0	0	0	rescalepx datasets/danbooru/face21742215.png
15	:	1527973715.307	     0.139	0	0	0	0	rescalepx datasets/danbooru/face21742733.jpg
16	:	1527973715.346	     0.111	0	0	0	0	rescalepx datasets/danbooru/face21764844.jpg
17	:	1527973715.358	     0.175	0	0	0	0	rescalepx datasets/danbooru/face21800857.jpg
18	:	1527973715.372	     0.176	0	0	0	0	rescalepx datasets/danbooru/face21840991.jpg
19	:	1527973715.421	     0.137	0	0	0	0	rescalepx datasets/danbooru/face21849024.jpg
20	:	1527973715.442	     0.128	0	0	0	0	rescalepx datasets/danbooru/face21855869.jpg
21	:	1527973715.457	     0.131	0	0	0	0	rescalepx datasets/danbooru/face21881266.jpg
22	:	1527973715.468	     0.153	0	0	0	0	rescalepx datasets/danbooru/face21884447.jpg
23	:	1527973715.548	     0.138	0	0	0	0	rescalepx datasets/danbooru/face21892602.jpg
25	:	1527973715.569	     0.213	0	0	0	0	rescalepx datasets/danbooru/face21901341.jpg
24	:	1527973715.558	     0.235	0	0	0	0	rescalepx datasets/danbooru/face21900706.png
26	:	1527973715.588	     0.233	0	0	0	0	rescalepx datasets/danbooru/face21939525.jpg
27	:	1527973715.621	     0.217	0	0	0	0	rescalepx datasets/danbooru/face21950310.png
28	:	1527973715.639	     0.235	0	0	0	0	rescalepx datasets/danbooru/face21957707.jpg
29	:	1527973715.774	     0.141	0	0	0	0	rescalepx datasets/danbooru/face21981121.png
30	:	1527973715.794	     0.172	0	0	0	0	rescalepx datasets/danbooru/face22006173.png
31	:	1527973715.805	     0.246	0	0	0	0	rescalepx datasets/danbooru/face22009612.jpg
32	:	1527973715.838	     0.273	0	0	0	0	rescalepx datasets/danbooru/face22016447.jpg
33	:	1527973715.874	     0.287	0	0	0	0	rescalepx datasets/danbooru/face22036440.jpg
34	:	1527973715.886	     0.350	0	0	0	0	rescalepx datasets/danbooru/face22038608.png
35	:	1527973715.966	     0.356	0	0	0	0	rescalepx datasets/danbooru/face22042427.jpg
36	:	1527973716.051	     0.295	0	0	0	0	rescalepx datasets/danbooru/face22051944.jpg
37	:	1527973716.110	     0.252	0	0	0	0	rescalepx datasets/danbooru/face22051950.jpg
38	:	1527973716.161	     0.252	0	0	0	0	rescalepx datasets/danbooru/face22056279.png
39	:	1527973716.236	     0.237	0	0	0	0	rescalepx datasets/danbooru/face22064296.jpg
40	:	1527973716.323	     0.202	0	0	0	0	rescalepx datasets/danbooru/face22099466.jpg
41	:	1527973716.346	     0.226	0	0	0	0	rescalepx datasets/danbooru/face22129936.jpg
42	:	1527973716.361	     0.244	0	0	0	0	rescalepx datasets/danbooru/face22135067.jpg
44	:	1527973716.473	     0.200	0	0	0	0	rescalepx datasets/danbooru/face22147571.jpg
43	:	1527973716.375	     0.430	0	0	0	0	rescalepx datasets/danbooru/face22146425.png
45	:	1527973716.524	     0.342	0	0	0	0	rescalepx datasets/danbooru/face22153767.jpg
46	:	1527973716.573	     0.411	0	0	0	0	rescalepx datasets/danbooru/face22182337.jpg
47	:	1527973716.601	     0.437	0	0	0	0	rescalepx datasets/danbooru/face22183483.jpg
48	:	1527973716.674	     0.404	0	0	0	0	rescalepx datasets/danbooru/face22184686.jpg
49	:	1527973716.805	     0.316	0	0	0	0	rescalepx datasets/danbooru/face22205890.png
50	:	1527973716.866	     0.298	0	0	0	0	rescalepx datasets/danbooru/face22218724.jpg
51	:	1527973716.910	     0.288	0	0	0	0	rescalepx datasets/danbooru/face22222994.jpg
52	:	1527973716.993	     0.241	0	0	0	0	rescalepx datasets/danbooru/face22231324.png
53	:	1527973717.079	     0.191	0	0	0	0	rescalepx datasets/danbooru/face22243245.jpg
54	:	1527973717.120	     0.185	0	0	0	0	rescalepx datasets/danbooru/face22248166.jpg
55	:	1527973717.163	     0.154	0	0	0	0	rescalepx datasets/danbooru/face22295811.jpg
56	:	1527973717.198	     0.190	0	0	0	0	rescalepx datasets/danbooru/face22296302.jpg
57	:	1527973717.235	     0.198	0	0	0	0	rescalepx datasets/danbooru/face22300551.jpg
59	:	1527973717.305	     0.166	0	0	0	0	rescalepx datasets/danbooru/face22313242.jpg
58	:	1527973717.271	     0.234	0	0	0	0	rescalepx datasets/danbooru/face22309410.jpg
60	:	1527973717.318	     0.211	0	0	0	0	rescalepx datasets/danbooru/face22315963.jpg
61	:	1527973717.388	     0.164	0	0	0	0	rescalepx datasets/danbooru/face22325030.jpg
62	:	1527973717.432	     0.164	0	0	0	0	rescalepx datasets/danbooru/face22337177.jpg
63	:	1527973717.471	     0.143	0	0	0	0	rescalepx datasets/danbooru/face22365200.jpg
64	:	1527973717.505	     0.181	0	0	0	0	rescalepx datasets/danbooru/face22372824.jpg
65	:	1527973717.529	     0.207	0	0	0	0	rescalepx datasets/danbooru/face22378881.jpg
66	:	1527973717.553	     0.200	0	0	0	0	rescalepx datasets/danbooru/face22381793.jpg
67	:	1527973717.596	     0.199	0	0	0	0	rescalepx datasets/danbooru/face22382064.jpg
68	:	1527973717.614	     0.256	0	0	0	0	rescalepx datasets/danbooru/face22388289.png
69	:	1527973717.628	     0.300	0	0	0	0	rescalepx datasets/danbooru/face22389667.jpg
70	:	1527973717.735	     0.213	0	0	0	0	rescalepx datasets/danbooru/face22392839.png
71	:	1527973717.753	     0.331	0	0	0	0	rescalepx datasets/danbooru/face22412501.png
72	:	1527973717.794	     0.465	0	0	0	0	rescalepx datasets/danbooru/face22414065.jpg
73	:	1527973717.870	     0.417	0	0	0	0	rescalepx datasets/danbooru/face22414092.png
74	:	1527973717.928	     0.456	0	0	0	0	rescalepx datasets/danbooru/face22414646.png
75	:	1527973717.947	     0.474	0	0	0	0	rescalepx datasets/danbooru/face22426990.jpg
76	:	1527973718.084	     0.390	0	0	0	0	rescalepx datasets/danbooru/face22428579.jpg
77	:	1527973718.258	     0.270	0	0	0	0	rescalepx datasets/danbooru/face22443595.jpg
78	:	1527973718.287	     0.275	0	0	0	0	rescalepx datasets/danbooru/face22445904.jpg
